dataset,user_id,name,class,age,gender,race,perspective,age_group,subset,auto_age,auto_gender,auto_perspective
CK+,CK+-1,S005_001_00000001.png,neutral,20,,,front,,,1,0,0
CK+,CK+-1,S005_001_00000006.png,disgust,20,,,front,,,1,0,0
CK+,CK+-1,S005_001_00000011.png,disgust,20,,,front,,,1,0,0
CK+,CK+-2,S011_001_00000001.png,neutral,15,,,front,,,1,0,0
CK+,CK+-2,S011_001_00000009.png,surprise,15,,,front,,,1,0,0
CK+,CK+-2,S011_001_00000016.png,surprise,15,,,front,,,1,0,0
CK+,CK+-2,S011_002_00000001.png,neutral,15,,,front,,,1,0,0
CK+,CK+-2,S011_002_00000012.png,sadness,15,,,front,,,1,0,0
CK+,CK+-2,S011_002_00000022.png,sadness,15,,,front,,,1,0,0
CK+,CK+-2,S011_003_00000001.png,neutral,15,,,front,,,1,0,0
CK+,CK+-2,S011_003_00000008.png,fear,15,,,front,,,1,0,0
CK+,CK+-2,S011_003_00000014.png,fear,15,,,front,,,1,0,0
CK+,CK+-2,S011_004_00000001.png,neutral,15,,,front,,,1,0,0
CK+,CK+-2,S011_004_00000011.png,anger,15,,,front,,,1,0,0
CK+,CK+-2,S011_004_00000021.png,anger,15,,,front,,,1,0,0
CK+,CK+-2,S011_005_00000001.png,neutral,15,,,front,,,1,0,0
CK+,CK+-2,S011_005_00000011.png,disgust,15,,,front,,,1,0,0
CK+,CK+-2,S011_005_00000020.png,disgust,15,,,front,,,1,0,0
CK+,CK+-2,S011_006_00000001.png,neutral,15,,,front,,,1,0,0
CK+,CK+-2,S011_006_00000007.png,happiness,15,,,front,,,1,0,0
CK+,CK+-2,S011_006_00000013.png,happiness,15,,,front,,,1,0,0
CK+,CK+-3,S014_001_00000001.png,neutral,26,female,,front,,,1,1,0
CK+,CK+-3,S014_001_00000015.png,surprise,26,female,,front,,,1,1,0
CK+,CK+-3,S014_001_00000029.png,surprise,26,female,,front,,,1,1,0
CK+,CK+-3,S014_002_00000001.png,neutral,26,female,,front,,,1,1,0
CK+,CK+-3,S014_002_00000009.png,sadness,26,female,,front,,,1,1,0
CK+,CK+-3,S014_002_00000016.png,sadness,26,female,,front,,,1,1,0
CK+,CK+-3,S014_003_00000001.png,neutral,26,female,,front,,,1,1,0
CK+,CK+-3,S014_003_00000016.png,anger,26,female,,front,,,1,1,0
CK+,CK+-3,S014_003_00000030.png,anger,26,female,,front,,,1,1,0
CK+,CK+-4,S022_001_00000001.png,neutral,31,female,,front,,,1,1,0
CK+,CK+-4,S022_001_00000016.png,surprise,31,female,,front,,,1,1,0
CK+,CK+-4,S022_001_00000030.png,surprise,31,female,,front,,,1,1,0
CK+,CK+-5,S026_001_00000001.png,neutral,26,female,,front,,,1,1,0
CK+,CK+-5,S026_001_00000008.png,surprise,26,female,,front,,,1,1,0
CK+,CK+-5,S026_001_00000015.png,surprise,26,female,,front,,,1,1,0
CK+,CK+-5,S026_002_00000001.png,neutral,26,female,,front,,,1,1,0
CK+,CK+-5,S026_002_00000009.png,sadness,26,female,,front,,,1,1,0
CK+,CK+-5,S026_002_00000016.png,sadness,26,female,,front,,,1,1,0
CK+,CK+-5,S026_003_00000001.png,neutral,26,female,,front,,,1,1,0
CK+,CK+-5,S026_003_00000008.png,anger,26,female,,front,,,1,1,0
CK+,CK+-5,S026_003_00000015.png,anger,26,female,,front,,,1,1,0
CK+,CK+-6,S028_001_00000001.png,neutral,14,female,,front,,,1,1,0
CK+,CK+-6,S028_001_00000013.png,anger,14,female,,front,,,1,1,0
CK+,CK+-6,S028_001_00000024.png,anger,14,female,,front,,,1,1,0
CK+,CK+-7,S029_001_00000001.png,neutral,21,female,,front,,,1,1,0
CK+,CK+-7,S029_001_00000010.png,anger,21,female,,front,,,1,1,0
CK+,CK+-7,S029_001_00000019.png,anger,21,female,,front,,,1,1,0
CK+,CK+-8,S032_001_00000001.png,neutral,27,female,,front,,,1,1,0
CK+,CK+-8,S032_001_00000012.png,surprise,27,female,,front,,,1,1,0
CK+,CK+-8,S032_001_00000022.png,surprise,27,female,,front,,,1,1,0
CK+,CK+-9,S034_001_00000001.png,neutral,21,female,,front,,,1,1,0
CK+,CK+-9,S034_001_00000015.png,surprise,21,female,,front,,,1,1,0
CK+,CK+-9,S034_001_00000029.png,surprise,21,female,,front,,,1,1,0
CK+,CK+-10,S035_001_00000001.png,neutral,22,female,,front,,,1,1,0
CK+,CK+-10,S035_001_00000008.png,surprise,22,female,,front,,,1,1,0
